corp_code,corp_name,stock_code,rows,latest_period,latest_amount_eok,max_amount_eok,latest_vs_max_ratio,max_abs_qoq_pct,max_abs_yoy_pct,score,reasons
657756,무송지오씨,135160,11,2025.12,10755.35,88798.64,0.12112066130742544,111106.24999999996,13661.45967294214,9,QoQ ??? 200%+; YoY ??? 300%+; ???? ?? ?? ?? 25% ??
808068,앤로보틱스,138360,17,2025.12,39.76,255.81,0.15542785661232944,79420.0,13153.333333333334,9,QoQ ??? 200%+; YoY ??? 300%+; ???? ?? ?? ?? 25% ??
120021,LG,3550,5,2025.12,3452105.0,3452105.0,1.0,13049.102940022563,13049.102940022563,9,??? ??; QoQ ??? 200%+; YoY ??? 300%+
1116344,이비테크,208850,5,2025.12,33.45,33.89,0.9870168191206846,8818.42105263158,8818.421052631578,9,??? ??; QoQ ??? 200%+; YoY ??? 300%+
552859,HLB테라퓨틱스,115450,7,2025.12,1716.65,1716.65,1.0,4899.51157565693,3976.4705882352937,9,??? ??; QoQ ??? 200%+; YoY ??? 300%+
303703,CS,65770,12,2025.09,1053592.5,6131205.0,0.1718410165701522,2204.906284454245,3738.696852636785,9,QoQ ??? 200%+; YoY ??? 300%+; ???? ?? ?? ?? 25% ??
562245,태웅로직스,124560,17,2025.12,123.28623,531.7,0.23187178860259544,2258.113,2458.113,9,QoQ ??? 200%+; YoY ??? 300%+; ???? ?? ?? ?? 25% ??
249034,드림라인,35430,17,2025.12,45.89,191.19,0.2400230137559496,315.4046997389034,1839.678284182305,9,QoQ ??? 200%+; YoY ??? 300%+; ???? ?? ?? ?? 25% ??
1018617,메디쎄이,200580,5,2025.12,14207.51,34089.2,0.416774520962651,1200.1964261876155,1200.1964261876155,9,??? ??; QoQ ??? 200%+; YoY ??? 300%+
293886,위닉스,44340,5,2025.12,0.26,0.26,1.0,1200.0,1200.0,9,??? ??; QoQ ??? 200%+; YoY ??? 300%+
