corp_code,corp_name,stock_code,filing_date,report_name,report_period,amount_display,change_display,change_pct_display,yoy_change_display,yoy_change_pct_display,amount_eok,change_eok,change_pct,yoy_change_eok,yoy_change_pct
00231442,디지틀조선,033130,20220512,분기보고서 (2022.03),2022.03,40.27,-,-,-,-,40.27,,,,
00231442,디지틀조선,033130,20220811,반기보고서 (2022.06),2022.06,27.54,-12.73,-31.61%,-,-,27.54,-12.730000000000004,-31.611621554507085,,
00231442,디지틀조선,033130,20221110,분기보고서 (2022.09),2022.09,14.81,-12.73,-46.22%,-,-,14.81,-12.729999999999999,-46.2236746550472,,
00231442,디지틀조선,033130,20230315,사업보고서 (2022.12),2022.12,-,-,-,-,-,,,,,
00231442,디지틀조선,033130,20230602,[기재정정]분기보고서 (2023.03),2023.03,40.27,-,-,0,0.00%,40.27,,,0.0,0.0
00231442,디지틀조선,033130,20230810,반기보고서 (2023.06),2023.06,84.94,+44.67,+110.93%,+57.4,+208.42%,84.94,44.669999999999995,110.9262478271666,57.4,208.42411038489468
00231442,디지틀조선,033130,20231110,분기보고서 (2023.09),2023.09,62.84,-22.1,-26.02%,+48.03,+324.31%,62.84,-22.099999999999994,-26.018365905344943,48.03,324.3079000675219
00231442,디지틀조선,033130,20240319,사업보고서 (2023.12),2023.12,39.03,-23.81,-37.89%,-,-,39.03,-23.810000000000002,-37.889879057924894,,
00231442,디지틀조선,033130,20240513,분기보고서 (2024.03),2024.03,66.13,+27.1,+69.43%,+25.86,+64.22%,66.13,27.099999999999994,69.43376889572122,25.859999999999992,64.21653836602927
00231442,디지틀조선,033130,20240814,반기보고서 (2024.06),2024.06,38.62,-27.51,-41.60%,-46.32,-54.53%,38.62,-27.509999999999998,-41.59987902616059,-46.32,-54.53261125500354
00231442,디지틀조선,033130,20241113,분기보고서 (2024.09),2024.09,25.89,-12.73,-32.96%,-36.95,-58.80%,25.89,-12.729999999999997,-32.96219575349559,-36.95,-58.80012730744749
00231442,디지틀조선,033130,20250320,사업보고서 (2024.12),2024.12,2.08,-23.81,-91.97%,-36.95,-94.67%,2.08,-23.810000000000002,-91.96601004248744,-36.95,-94.67076607737638
00231442,디지틀조선,033130,20260318,사업보고서 (2025.12),2025.12,2.35,+0.27,+12.98%,+0.27,+12.98%,2.35,0.27,12.98076923076923,0.27,12.980769230769232
