corp_code,corp_name,stock_code,filing_date,report_name,report_period,amount_display,change_display,change_pct_display,yoy_change_display,yoy_change_pct_display,amount_eok,change_eok,change_pct,yoy_change_eok,yoy_change_pct
01700587,이노스페이스,462350,20240321,사업보고서 (2023.12),2023.12,0,-,-,-,-,0.0001251,,,,
01700587,이노스페이스,462350,20240514,분기보고서 (2024.03),2024.03,0,+0,+0.78%,-,-,0.00012608,9.800000000000076e-07,0.7833733013589139,,
01700587,이노스페이스,462350,20240814,반기보고서 (2024.06),2024.06,0,+0,+12.22%,-,-,0.00014149,1.540999999999999e-05,12.222398477157359,,
01700587,이노스페이스,462350,20241114,분기보고서 (2024.09),2024.09,0,+0,+5.53%,-,-,0.00014932,7.829999999999984e-06,5.533959997172944,,
01700587,이노스페이스,462350,20250318,사업보고서 (2024.12),2024.12,0,+0,+8.52%,+0,+29.53%,0.00016204,1.272e-05,8.51861773372622,3.693999999999998e-05,29.528377298161455
01700587,이노스페이스,462350,20250812,[기재정정]분기보고서 (2025.03),2025.03,86.6,+86.6,"+53,443,494.17%",+86.6,"+68,686,448.22%",86.6,86.59983795999999,53443494.174277954,86.59987392,68686448.22335024
01700587,이노스페이스,462350,20250812,반기보고서 (2025.06),2025.06,83.42,-3.18,-3.67%,+83.42,"+58,958,130.26%",83.42,-3.1799999999999926,-3.672055427251719,83.41985851,58958130.26362287
01700587,이노스페이스,462350,20251114,분기보고서 (2025.09),2025.09,73.74,-9.68,-11.60%,+73.74,"+49,383,773.56%",73.74,-9.680000000000007,-11.60393191081276,73.73985067999999,49383773.5601393
01700587,이노스페이스,462350,20260316,사업보고서 (2025.12),2025.12,90.65,+16.91,+22.93%,+90.65,"+55,942,877.04%",90.65,16.91000000000001,22.931922972606465,90.64983796,55942877.042705506
