corp_code,corp_name,stock_code,filing_date,report_name,report_period,amount_display,change_display,change_pct_display,yoy_change_display,yoy_change_pct_display,amount_eok,change_eok,change_pct,yoy_change_eok,yoy_change_pct
00688358,하이즈항공,221840,20220323,사업보고서 (2021.12),2021.12,0.01,-,-,-,-,0.01182163,,,,
00688358,하이즈항공,221840,20220516,분기보고서 (2022.03),2022.03,0.01,-0,-0.17%,-,-,0.01180189,-1.9739999999998994e-05,-0.16698204900676972,,
00688358,하이즈항공,221840,20220816,반기보고서 (2022.06),2022.06,0.01,+0,+4.05%,-,-,0.0122793,0.0004774099999999993,4.045199540073652,,
00688358,하이즈항공,221840,20221114,[기재정정]분기보고서 (2022.09),2022.09,"13,188.37","+13,188.36","+107,403,172.17%",-,-,13188.37,13188.357720700002,107403172.17349525,,
00688358,하이즈항공,221840,20230315,사업보고서 (2022.12),2022.12,0.01,"-13,188.36",-100.00%,+0,+0.62%,0.0118951,-13188.3581049,-99.99990980613981,7.347000000000083e-05,0.6214878997228033
00688358,하이즈항공,221840,20230515,분기보고서 (2023.03),2023.03,0.01,+0,+0.86%,+0,+1.66%,0.01199792,0.00010282,0.8643895385494815,0.00019602999999999982,1.661005144091326
00688358,하이즈항공,221840,20230814,반기보고서 (2023.06),2023.06,0.01,-0,-0.76%,-0,-3.03%,0.01190704,-9.087999999999978e-05,-0.7574646272020424,-0.00037225999999999926,-3.0316060361746944
00688358,하이즈항공,221840,20231114,분기보고서 (2023.09),2023.09,"11,964.97","+11,964.96","+100,486,418.90%","-1,223.4",-9.28%,11964.97,11964.95809296,100486418.89974333,-1223.4000000000015,-9.276354849007127
00688358,하이즈항공,221840,20240318,사업보고서 (2023.12),2023.12,"11,068.93",-896.04,-7.49%,"+11,068.92","+93,054,435.06%",11068.93,-896.039999999999,-7.488861234085831,11068.9181049,93054435.06065522
00688358,하이즈항공,221840,20240514,분기보고서 (2024.03),2024.03,"11,316.95",+248.02,+2.24%,"+11,316.94","+94,324,166.21%",11316.95,248.02000000000044,2.240686317467011,11316.93800208,94324166.2061424
00688358,하이즈항공,221840,20240814,반기보고서 (2024.06),2024.06,"11,431.99",+115.04,+1.02%,"+11,431.98","+96,010,243.46%",11431.99,115.03999999999905,1.0165283048877871,11431.97809296,96010243.46067536
00688358,하이즈항공,221840,20241114,분기보고서 (2024.09),2024.09,"11,166.05",-265.94,-2.33%,-798.92,-6.68%,11166.05,-265.9400000000005,-2.3262791517487336,-798.9200000000001,-6.677158404910336
00688358,하이즈항공,221840,20250711,[기재정정]사업보고서 (2024.12),2024.12,"11,199.12",+33.07,+0.30%,+130.19,+1.18%,11199.12,33.07000000000153,0.2961656091456044,130.1900000000005,1.1761751135837022
00688358,하이즈항공,221840,20250513,분기보고서 (2025.03),2025.03,"11,401.27",+202.15,+1.81%,+84.32,+0.75%,11401.27,202.14999999999964,1.8050525398424222,84.31999999999971,0.7450770746535038
00688358,하이즈항공,221840,20250814,반기보고서 (2025.06),2025.06,"11,001.88",-399.39,-3.50%,-430.11,-3.76%,11001.88,-399.39000000000124,-3.5030308027088286,-430.1100000000006,-3.762337090917684
00688358,하이즈항공,221840,20251113,분기보고서 (2025.09),2025.09,"10,763.15",-238.73,-2.17%,-402.9,-3.61%,10763.15,-238.72999999999956,-2.1699018713165374,-402.89999999999964,-3.608258963554701
00688358,하이즈항공,221840,20260318,사업보고서 (2025.12),2025.12,"11,625.38",+862.23,+8.01%,+426.26,+3.81%,11625.38,862.2299999999996,8.010944751304216,426.2599999999984,3.8061919150790278
