corp_code,corp_name,stock_code,filing_date,report_name,report_period,amount_display,change_display,change_pct_display,yoy_change_display,yoy_change_pct_display,amount_eok,change_eok,change_pct,yoy_change_eok,yoy_change_pct
01325979,세아제강,306200,20220816,반기보고서 (2022.06),2022.06,"1,517.65",-,-,-,-,1517.65,,,,
01325979,세아제강,306200,20221114,분기보고서 (2022.09),2022.09,"1,216.83",-300.82,-19.82%,-,-,1216.83,-300.82000000000016,-19.8214344545844,,
01325979,세아제강,306200,20230314,사업보고서 (2022.12),2022.12,"1,030.3",-186.53,-15.33%,-,-,1030.3,-186.52999999999997,-15.32917498746743,,
01325979,세아제강,306200,20230515,분기보고서 (2023.03),2023.03,741.83,-288.47,-28.00%,-,-,741.83,-288.4699999999999,-27.998641172474027,,
01325979,세아제강,306200,20230814,반기보고서 (2023.06),2023.06,419.73,-322.1,-43.42%,"-1,097.92",-72.34%,419.73,-322.1,-43.41965140261246,-1097.92,-72.34342569103548
01325979,세아제강,306200,20231114,분기보고서 (2023.09),2023.09,"1,018.62",+598.89,+142.68%,-198.21,-16.29%,1018.62,598.89,142.68458294617966,-198.20999999999992,-16.289046128054036
01325979,세아제강,306200,20240306,사업보고서 (2023.12),2023.12,811.2,-207.42,-20.36%,-219.1,-21.27%,811.2,-207.41999999999996,-20.362843847558455,-219.0999999999999,-21.26565078132582
01325979,세아제강,306200,20240516,분기보고서 (2024.03),2024.03,595.18,-216.02,-26.63%,-146.65,-19.77%,595.18,-216.0200000000001,-26.62968441814597,-146.6500000000001,-19.76868015583086
01325979,세아제강,306200,20240814,반기보고서 (2024.06),2024.06,392.97,-202.21,-33.97%,-26.76,-6.38%,392.97,-202.20999999999992,-33.97459592056183,-26.75999999999999,-6.375527124580086
01325979,세아제강,306200,20241114,분기보고서 (2024.09),2024.09,289.41,-103.56,-26.35%,-729.21,-71.59%,289.41,-103.56,-26.35315672952133,-729.21,-71.58803086528833
01325979,세아제강,306200,20250312,사업보고서 (2024.12),2024.12,283.12,-6.29,-2.17%,-528.08,-65.10%,283.12,-6.2900000000000205,-2.173387236101043,-528.08,-65.09861932938857
01325979,세아제강,306200,20250515,분기보고서 (2025.03),2025.03,220.63,-62.49,-22.07%,-374.55,-62.93%,220.63,-62.49000000000001,-22.07191296976547,-374.54999999999995,-62.930542020901235
01325979,세아제강,306200,20250814,반기보고서 (2025.06),2025.06,136.97,-83.66,-37.92%,-256,-65.14%,136.97,-83.66,-37.91868739518651,-256.0,-65.14492200422424
01325979,세아제강,306200,20251114,분기보고서 (2025.09),2025.09,111.18,-25.79,-18.83%,-178.23,-61.58%,111.18,-25.789999999999992,-18.82894064393662,-178.23000000000002,-61.583912097024985
01325979,세아제강,306200,20260312,사업보고서 (2025.12),2025.12,"1,085.37",+974.19,+876.23%,+802.25,+283.36%,1085.37,974.1899999999998,876.2277388019426,802.2499999999999,283.36041254591686
