corp_code,corp_name,stock_code,filing_date,report_name,report_period,amount_display,change_display,change_pct_display,yoy_change_display,yoy_change_pct_display,amount_eok,change_eok,change_pct,yoy_change_eok,yoy_change_pct
00173944,우진,105840,20220310,사업보고서 (2021.12),2021.12,40.37,-,-,-,-,40.3692,,,,
00173944,우진,105840,20220516,분기보고서 (2022.03),2022.03,8.93,-31.44,-77.89%,-,-,8.9264,-31.4428,-77.88809290250984,,
00173944,우진,105840,20220812,반기보고서 (2022.06),2022.06,-,-,-,-,-,,,,,
00173944,우진,105840,20221114,분기보고서 (2022.09),2022.09,0.04,-,-,-,-,0.03533392,,,,
00173944,우진,105840,20230316,사업보고서 (2022.12),2022.12,33.47,+33.44,"+94,629.17%",-6.9,-17.09%,33.47153,33.43619608,94629.17242128811,-6.897669999999998,-17.08646691041685
00173944,우진,105840,20230511,분기보고서 (2023.03),2023.03,22.26,-11.21,-33.50%,+13.33,+149.34%,22.25734,-11.214190000000002,-33.503667146377836,13.33094,149.34284818067755
00173944,우진,105840,20230811,반기보고서 (2023.06),2023.06,15.8,-6.45,-28.99%,-,-,15.80492,-6.45242,-28.99007698134638,,
00173944,우진,105840,20231113,분기보고서 (2023.09),2023.09,7.03,-8.78,-55.53%,+6.99,"+19,790.75%",7.02818,-8.77674,-55.53169519364856,6.99284608,19790.745210268207
00173944,우진,105840,20240315,사업보고서 (2023.12),2023.12,64.78,+57.75,+821.74%,+31.31,+93.54%,64.78186,57.753679999999996,821.7444630046468,31.310329999999993,93.54316937409193
00173944,우진,105840,20240514,분기보고서 (2024.03),2024.03,57.31,-7.47,-11.53%,+35.05,+157.49%,57.31057,-7.471289999999996,-11.532997045777938,35.05323,157.49065252181978
00173944,우진,105840,20240812,반기보고서 (2024.06),2024.06,56.3,-1.01,-1.77%,+40.49,+256.19%,56.2963,-1.0142699999999962,-1.7697782450950994,40.49138000000001,256.1947798533622
00173944,우진,105840,20241113,분기보고서 (2024.09),2024.09,55.5,-0.79,-1.41%,+48.47,+689.72%,55.50278,-0.7935200000000009,-1.4095420125301295,48.4746,689.7176793992187
00173944,우진,105840,20250313,사업보고서 (2024.12),2024.12,55.53,+0.03,+0.05%,-9.25,-14.28%,55.53093,0.028149999999996567,0.05071818024249275,-9.250929999999997,-14.280124096467741
00173944,우진,105840,20250515,분기보고서 (2025.03),2025.03,29,-26.53,-47.78%,-28.31,-49.40%,28.999625,-26.531304999999996,-47.77752686655886,-28.310944999999997,-49.399168425649925
00173944,우진,105840,20250813,반기보고서 (2025.06),2025.06,0.24,-28.76,-99.18%,-56.06,-99.58%,0.23683452,-28.762790480000003,-99.183318680845,-56.05946548,-99.57930713030873
00173944,우진,105840,20251113,분기보고서 (2025.09),2025.09,0.49,+0.26,+108.50%,-55.01,-99.11%,0.49380721,0.25697269,108.50305521340387,-55.00897279,-99.11030184434006
00173944,우진,105840,20260316,사업보고서 (2025.12),2025.12,722.26,+721.77,"+146,164.05%",+666.73,"+1,200.65%",722.2624,721.76859279,146164.04503085325,666.73147,1200.6488456073039
