corp_code,corp_name,stock_code,start_date,end_date,filings,processed_filings,skipped_filings,match_count,matched_filing_count,total_count,has_backlog_keyword,has_backlog_total,latest_total_period,latest_total_eok,status
00378363,3S,060310,20250408,20260408,1,1,0,6,1,1,True,True,2025.12,3.99,has_backlog_total
00296078,APS,054620,20250408,20260408,1,1,0,1,1,1,True,True,2025.12,39.07,has_backlog_total
01203808,AP시스템,265520,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,2286.59,has_backlog_total
00874803,AP위성,211270,20250408,20260408,1,1,0,17,1,1,True,True,2025.12,249.27573793,has_backlog_total
00656021,BF랩스,139050,20250408,20260408,1,1,0,1,1,1,True,True,2025.12,10.83,has_backlog_total
00407814,CG인바이츠,083790,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,106.87,has_backlog_total
00148540,CJ,001040,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,2534.04,has_backlog_total
00303873,CJ CGV,079160,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,2534.04,has_backlog_total
00318662,CNT85,056730,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,238.34,has_backlog_total
00303703,CS,065770,20250408,20260408,1,1,0,2,1,1,True,True,2025.12,1485713.5,has_backlog_total
00163345,DB,012030,20250408,20260408,1,1,0,81,1,1,True,True,2025.12,4157.7,has_backlog_total
00627029,DGI,099520,20250408,20260408,1,1,0,7,1,1,True,True,2025.12,179.44,has_backlog_total
00108746,DKME,015590,20250408,20260408,1,1,0,3,1,1,True,True,2025.12,552.0,has_backlog_total
00109693,DL,000210,20250408,20260408,1,1,0,22,1,1,True,True,2025.12,84208.06,has_backlog_total
01524093,DL이앤씨,375500,20250408,20260408,1,1,0,23,1,1,True,True,2025.09,83239.32,has_backlog_total
01516890,E8,418620,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,71.61634,has_backlog_total
00261054,EG,037370,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,17.61138,has_backlog_total
00175623,ES큐브,050120,20250408,20260408,1,1,0,1,1,1,True,True,2025.12,0.01179,has_backlog_total
00500254,GS,078930,20250408,20260408,1,1,0,10,1,1,True,True,2025.12,134.26,has_backlog_total
00540863,GST,083450,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,712.0,has_backlog_total
00120030,GS건설,006360,20250408,20260408,1,1,0,105,1,1,True,True,2025.12,464727.45,has_backlog_total
00138190,GS글로벌,001250,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,110.91,has_backlog_total
00523936,HB솔루션,297890,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,167.93,has_backlog_total
00255275,HB테크놀러지,078150,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,411.79,has_backlog_total
00288495,HC홈센타,060560,20250408,20260408,1,1,0,17,1,1,True,True,2025.12,39.86721,has_backlog_total
00164636,HDC,012630,20250408,20260408,1,1,0,39,1,1,True,True,2025.12,209550.39,has_backlog_total
00350312,HDC랩스,039570,20250408,20260408,1,1,0,25,1,1,True,True,2025.12,3962.7,has_backlog_total
01310269,HDC현대산업개발,294870,20250408,20260408,1,1,0,6,1,1,True,True,2025.12,209550.39,has_backlog_total
00164830,HD한국조선해양,009540,20250408,20260408,1,1,0,9,1,1,True,True,2025.12,822368.8,has_backlog_total
01205709,HD현대,267250,20250408,20260408,1,1,0,19,1,1,True,True,2025.12,822368.8,has_backlog_total
01194689,HD현대마린솔루션,443060,20250408,20260408,1,1,0,3,1,1,True,True,2025.12,2305.92,has_backlog_total
00406046,HD현대마린엔진,071970,20250408,20260408,1,1,0,7,1,1,True,True,2025.12,10888.98,has_backlog_total
01199550,HD현대에너지솔루션,322000,20250408,20260408,1,1,0,2,1,1,True,True,2025.12,238.07433,has_backlog_total
01205851,HD현대일렉트릭,267260,20250408,20260408,1,1,0,2,1,1,True,True,2025.12,94234.0,has_backlog_total
01390344,HD현대중공업,329180,20250408,20260408,1,1,0,9,1,1,True,True,2025.12,563844.72,has_backlog_total
00633835,HJ중공업,097230,20250408,20260408,1,1,0,73,1,1,True,True,2025.09,21026.0,has_backlog_total
00161116,HL D&I,014790,20250408,20260408,1,1,0,35,1,1,True,True,2025.12,62648.16,has_backlog_total
00199252,HLB,028300,20250408,20260408,1,1,0,6,1,1,True,True,2025.12,126.38,has_backlog_total
01189438,HLB바이오스텝,278650,20250408,20260408,1,1,0,6,1,1,True,True,2025.09,319.70718,has_backlog_total
00155586,HLB이노베이션,024850,20250408,20260408,1,1,0,8,1,1,True,True,2025.12,33.81663,has_backlog_total
00552859,HLB테라퓨틱스,115450,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,61.0,has_backlog_total
00172079,HLB파나진,046210,20250408,20260408,1,1,0,7,1,1,True,True,2025.12,3.04,has_backlog_total
00808086,HLB펩,196300,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,5.65,has_backlog_total
01042775,HL만도,204320,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,10257.69,has_backlog_total
00174527,HS화성,002460,20250408,20260408,1,1,0,50,1,1,True,True,2025.12,22370.73,has_backlog_total
00117629,KBI동양철관,008970,20250408,20260408,1,1,0,6,1,1,True,True,2025.12,44.06,has_backlog_total
00366517,KC산업,112190,20250408,20260408,1,1,0,29,1,1,True,True,2025.12,993.56,has_backlog_total
00797364,KC코트렐,119650,20250408,20260408,1,1,0,7,1,1,True,True,2025.12,10901.6375367,has_backlog_total
00111218,KD,044180,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,356.70781,has_backlog_total
00115676,KG스틸,016380,20250408,20260408,1,1,0,9,1,1,True,True,2025.12,140.85,has_backlog_total
00366137,KG에코솔루션,151860,20250408,20260408,1,1,0,9,1,1,True,True,2025.12,140.85,has_backlog_total
00101220,KG케미칼,001390,20250408,20260408,1,1,0,32,1,1,True,True,2025.12,140.09,has_backlog_total
00618410,KS인더스트리,101000,20250408,20260408,1,1,0,5,1,1,True,True,2025.12,534.94,has_backlog_total
00372882,KTcs,058850,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,4133.09,has_backlog_total
00141389,KZ정밀,036560,20250408,20260408,1,1,0,4,1,1,True,True,2025.12,555.81,has_backlog_total
00120021,LG,003550,20250408,20260408,1,1,0,7,1,1,True,True,2025.12,3452105.0,has_backlog_total
